country,date_law_as_it_stood_on,date_checked_rapporteurs,emergency_declaration,rule_making_powers_dependent_emergency,parliament_scrutiny_em_declaration,sunset_provisions_em_declarations,sunset_provisions_em_decl_months,constitutional_declaration,statutory,constitutional_changes,covid_general_statute,statute_emergency_powers,fast_tracking_prim_leg,fast_tracking_prim_leg_days,party_opposition_covid_statute,amendments_opposition_covid_bill,sunset_provisions_statute,suspension_bill_rights,postponement_suspension_election,elections_held,stay_at_home_orders,sunset_provisions_stay_at_home,parliament_suspension,ex_ante_judicial_review,ex_post_judicial_review,parliament_scrutiny_instrument,sunset_provisions_ind_reg,derogation
Argentina,13-Jul-21,11/05/2023,1,2,3,1,12,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,2,1,1; 3,1,1,1,0,1,1,2,1
Austria,30-Jun-21,13/03/2023,0,0,NA.,NA.,NA.,0,0,2,1,3,1,1,1,1,1,0,1; 2,1,1,1,0,0,1,4,1,0
Belgium,23-Dec-20,13/03/2023,1,1,1,1,3,0,1,0,1,3,1,6,0,0,1,0,0,0,1,0,0,0,1,1,0; 1,0
Brazil,12-Apr-21,,1,1,1,1,NA.,0,1,0,1,3,1,2,0,1,1,0,1,1,2;3,NA.,0,0,1,3,1,0
Canada,11-Apr-21,,1,1,0,NA.,NA.,0,1,0,0,1,NA.,NA.,NA.,1,NA.,0,1; 4,1; 2; 3,2,NA.,0,0,1,1,1,0
Chile,04-Jan-21,13/03/2023,1,1,3,1,3,1,1,1,0,1,NA.,NA.,NA.,NA.,NA.,0,1; 2; 4,3; 4,1,1,0,1,1,0,0,1
China,31-Mar-21,,0,0,NA.,NA.,NA.,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,2,0,0,2; 3,0,0,0,0,0,0,0
Colombia,01-Mar-21,,1,1,1,1,2,1,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,0,1,0,0,0,1,0,0,0
Costa Rica,31-Dec-22,18/04/2023,1,1,0,0,NA.,1,1; 2,0,0,1,NA.,NA.,NA.,NA.,NA.,0,4,3,0,NA.,0,0,1,0,1; 2,0
Cuba,01-Mar-22,,0,0,NA.,NA.,NA.,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,0,0,NA.,0,0,0,0,1,0
Ethiopia,26-Jul-21,,1,1,1,1,6,1,0,0,1,3,1,1,0,0,1,2,2; 3,3,0,NA.,0,0,0,NA.,0,1
Finland,03-Sep-21,22/03/2023,1,1,1,1,6,0,2,0,0,1,NA.,NA.,0,NA.,NA.,0,1,1,0,NA.,0,0,1,0,1,0
France,08-Mar-21,09/03/2023,1,1,1,1,1,0,1,0,1,2,1,4,0,0,0,0,1; 2,1; 2,1,2,0,0,1,0,1,0
Germany,15-Dec-20,,1,1,1,1,12,0,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,1; 2; 3,1,0,0,0,1,3,1,0
Hong Kong,15-Oct-20,21/03/2023,0,0,NA.,NA.,NA.,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,3,3,3,NA.,1,0,1,NA.,1,0
Hungary,03-May-22,,1,1,1,1,1,0,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1; 2; 3,0,1,0,0,0,1,1,0,0
Indonesia,28-Sep-21,16/03/2023,0,0,NA.,NA.,NA.,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1; 2,1,2; 3,1,0,0,1,0,2,0
Ireland ,30-Dec-20,,1,0,0,0,NA.,0,1,0,1,3,1,1,0,2,1,0,0,3,1,1,0,0,1,3,1,0
Israel ,14-Apr-21,31/03/2023,1,1,1,1,1,1,1,1,1,3,1,37,2,0,1,0,0,3,1,1,0,0,1,3,1,0
Italy,11-Jan-21,16/03/2023,1,1,0,1,6,0,1,0,1,3,0,NA.,0,1,1,0,1; 2; 4,2; 4,1,0,0,0,1,1,1,0
Jamaica,30-Mar-21,17/03/2023,1,1,0,0,NA.,0,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,3,0,NA.,0,0,1,0,2,0
Latvia,24-May-21,27/03/2023,1,1,1,1,3,0,1; 2,0,1,3,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
Malaysia,Forthcoming,,1,1,3,1,7,1,0,0,1,3,1,13,NA.,NA.,1,0,2,2,1,1,1,0,1,1,0,0
Mexico,15-Feb-21,,1,1,0,0,NA.,1,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,1; 3; 4,0,NA.,0,0,1,0,1,0
Netherlands,Forthcoming,,1,0,0,NA.,NA.,0,1,0,1,3,1,90,1,,,0,0,3,0,,0,0,1,,0,0
New Zealand,15-Dec-20,,1,1,1,1,1,0,1,0,1,3,1,2,1,1,1,0,3,3; 4,1,NA.,0,0,1,1,1,0
Norway,10-Jan-21, 20/03/2023,0,0,NA.,NA.,NA.,0,0,0,1,3,1,9,1,1,1,0,0,3,0,NA.,0,0,1,4,0,0
Pakistan,04-Apr-21,,1,1,0,0,NA.,0,1,0,1,3,1,17,1,0,0,0,2; 3,3,2,1,0,0,1,0,1,0
Peru,31-May-21,,1,1,0,1,1,1,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,1; 3,1,1,0,0,0,0,0,0
Portugal,20-Apr-21,,1,1,1,1,1,1,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,1; 3,1,1,0,0,1,NA.,1,0
Romania,19-May-21,,1,1,,1,1,1,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,1; 3,0,NA.,0,0,1,,0,1
Russia,01-Aug-21,,1,1,0,0,NA.,0,1,0,0,1,NA.,NA.,NA.,NA.,NA.,2,1; 2; 4,1; 2; 4,3,NA.,0,0,1,0,0,0
Serbia,16-Dec-20,,1,1,1,0,NA.,1,0,0,0,1,NA.,NA.,NA.,NA.,NA.,2,1; 2; 3,1; 2; 3; 4,1,1,1,0,1,0,NA.,1
Singapore,26-Apr-21,,0,0,NA.,NA.,NA.,0,0,0,1,3,1,1,0,0,1,0,0,3,1,1,0,0,1,1,1,0
South Africa,18-Dec-20,,1,1,0,1,3,0,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,1,1,1,0,0,1,1,1,0
South Korea,Forthcoming,,1,1,0,0,NA.,0,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,3,0,NA.,0,0,1,0,0,0
Spain,12-Jan-21,,1,1,0,1,1,1,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,2,2,1,1,0,0,1,0,1,0
Sri Lanka,Forthcoming,,0,0,0,NA.,NA.,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,3,3,1,NA.,1,0,0,0,NA.,0
Sweden,14-Jan-21,,0,0,NA.,NA.,NA.,0,0,0,1,3,0,NA.,0,0,1,0,1,1,0,NA.,0,0,1,NA.,1,0
Taiwan,22-Apr-21,,0,0,NA.,NA.,NA.,0,0,0,1,3,1,6,0,0,1,0,0,1,0,NA.,0,0,1,NA.,0,0
Thailand,20-Sep-21,,1,1,0,1,3,0,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,2,0,NA.,0,0,0,0,0,1
The European Union,16-Jan-22,,0,0,NA.,NA.,NA.,0,0,0,0,,NA.,NA.,NA.,NA.,NA.,0,NA.,,NA.,NA.,0,0,1,NA.,NA.,0
Tunisia,Forthcoming,,1,1,0,0,NA.,1,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,1,1,0,0,0,0,2,NA.,0
Turkey,08-Jul-20,,0,0,NA.,NA.,NA.,0,0,0,0,1,NA.,NA.,NA.,NA.,NA.,0,1,0,0,NA.,0,0,1,NA.,0,0
United Kingdom,08-Oct-20,,0,0,NA.,NA.,NA.,0,0,0,1,3,1,3,1,0,1,0,1,1; 3,1,1,0,0,1,1,1,0
United States,01-Oct-21,,1,1,0,1,NA.,0,1,0,0,1,NA.,NA.,NA.,NA.,1,0,1; 2,1; 2; 3,2,NA.,0,0,1,0,0,0
Venezuela,Forthcoming,,1,1,0,1,1,1,1,0,0,1,NA.,NA.,NA.,NA.,NA.,0,0,1; 2; 3,1,0,0,0,1,0,NA.,0